date_debut;date_fin;type_evenement;titre_activite;affluence_domaine;description;lieu;horaires;tarif_adultes_plein;tarif_reduit_supp;duree_estimee;adapte_enfants;adapte_pmr;url_source
04/10/2025;04/10/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
14/06/2025;12/10/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985, en amont de travaux de restauration ou pour des projets de recherches et d'études.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versaille/fr-2025-10-04
04/10/2025;04/10/2025;Événement;LE GRAND QUIZ DE LA IIIÈME RÉPUBLIQUE;Non applicable;Et si la IIIème République avait laissé bien plus de traces dans notre vie quotidienne qu'on ne l'imagine? À l'occasion du 150ème anniversaire de la IIIème République, le château organise un grand quizz: que vous soyez simplement curieux ou passionnés, c'est l'occasion de venir tester ses connaissances!;Non précisé;20H;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;04/10/2025;Événement;GRANDES EAUX MUSICALES;Non applicable;LES GRANDES EAUX MUSICALES 2025;Jardins;9h00;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;04/10/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;04/10/2025;Visite guidée;VISITE GUIDÉE - LE HAMEAU DE MARIE-ANTOINETTE À MARIE-LOUISE;Non applicable;Au fond du domaine, se dressent les chaumières du hameau construit par Richard Mique pour Marie-Antoinette. À redécouvrir grâce aux travaux de restauration.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;04/10/2025;Activité Famille;VISITE FAMILLE - VERSAILLES, TOUTE UNE HISTOIRE !;Non applicable;Versailles, palais des rois? Oui! Mais pas seulement.;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;04/10/2025;Activité Famille;ATELIER FAMILLE - SECRET DES DORURES;Non applicable;Que d'ors à Versailles! Depuis les balcons jusqu'aux intérieurs du Château. En atelier, les familles découvrent le métier d'artisan doreur et s'initient à la dorure.;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;04/10/2025;Activité Famille;VISITE FAMILLE - PETITS CHASSEURS DE TRÉSORS: LA LETTRE MYSTÉRIEUSE;Non applicable;Tout Versailles est intrigué. Mais quelle est cette lettre qui parle de trésors à Versailles écrite par un petit page vénitien appelé Marco?;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;04/10/2025;Billet combiné;BILLET D'ENTRÉE + VISITE EN RÉALITÉ VIRTUELLE;Non applicable;Découvrez notre offre combinée comprenant un billet d'entrée au choix (Château ou Passeport) + une expérience de réalité virtuelle hors normes.;Non précisé;Non précisé;45.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;04/10/2025;Billet combiné;BILLET DOMAINE DE TRIANON + TEA TIME (LA PETITE VENISE);faible;Ce billet donne accès au domaine de Trianon: Grand Trianon, Petit Trianon, Hameau de la Reine et leurs jardins ainsi qu'à un Tea Time au restaurant La Petite Venise.;Domaine de Trianon et La Petite Venise;Ouverture Domaine Trianon 12h00;24.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;04/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château matin);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Ouverture Château 9h00;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;04/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château à partir de 11h et 13h);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Accès Château à partir de 11h et 13h;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
05/10/2025;05/10/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
14/06/2025;12/10/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985, en amont de travaux de restauration ou pour des projets de recherches et d'études.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Événement;GRANDES EAUX MUSICALES;Non applicable;LES GRANDES EAUX MUSICALES 2025;Jardins;9h00;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Événement;CONCERT DU 8E GALA DE L'ADOR: FLORILÈGE ROSSINI;Non applicable;Non précisé;Opéra Royal;17h30;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Visite guidée;VISITE GUIDÉE - LE PETIT TRIANON DE MARIE-ANTOINETTE;Non applicable;La Reine se voit offrir, en 1774, le Petit Trianon par Louis XVI. Le domaine deviendra son royaume.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Visite guidée;VISITE GUIDÉE - CHEZ LES FAVORITES DU ROI;Non applicable;Les favorites royales ont aussi fait l'histoire et la légende de Versailles.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Visite guidée;QUAND LA RÉPUBLIQUE SIÉGEAIT À VERSAILLES;Non applicable;Lieu emblématique de la monarchie absolue, Versailles incarne aussi le berceau de la République française.;Non précisé;Non précisé;25.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Visite guidée;VISITE GUIDÉE - DU CHÂTEAU DES ROIS AU PALAIS DE LA RÉPUBLIQUE;Non applicable;Résidence royale mais aussi palais de la République, découvrez le Château dans ces facettes les plus diverses et parfois les moins connues.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Visite guidée;VISITE GUIDÉE - LE HAMEAU DE MARIE-ANTOINETTE À MARIE-LOUISE;Non applicable;Au fond du domaine, se dressent les chaumières du hameau construit par Richard Mique pour Marie-Antoinette. À redécouvrir grâce aux travaux de restauration.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Visite-Concert;VISITE CONCERT - LES CHEFS D'ŒUVRE DE L'ORGUE CLASSIQUE FRANÇAIS;Non applicable;Les organistes de la chapelle royale vous révèlent l'histoire et les secrets du Grand Orgue.;Chapelle Royale;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Activité Famille;VISITE CONTÉE FAMILLE - L'INCROYABLE EXPLOIT DE SIRE ANANAS IER;Non applicable;1731, deux œilletons d'ananas arrivent à Versailles. Louis XV les confie avec soin à son jardinier et son assistante. Mais comment faire pousser des ananas à Versailles ?;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Activité Famille;ATELIER FAMILLE - CONSTRUISONS LE CHÂTEAU DE VERSAILLES;Non applicable;Découvrez les différentes étapes de la construction de la résidence royale et reconstituez à l'aide d'une maquette l'évolution du Château de sa création à aujourd'hui.;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Activité Famille;ATELIER FAMILLE - SECRET DES DORURES;Non applicable;Que d'ors à Versailles! Depuis les balcons jusqu'aux intérieurs du Château. En atelier, les familles découvrent le métier d'artisan doreur et s'initient à la dorure.;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Activité Famille;VISITE TOUT PETIT - VERSAILLES DU BOUT DES DOIGTS;Non applicable;Une visite basée sur la manipulation et le toucher des tout-petits avec des outils de médiation évoquant toutes les matières visibles à Versailles;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Billet combiné;BILLET D'ENTRÉE + VISITE EN RÉALITÉ VIRTUELLE;Non applicable;Découvrez notre offre combinée comprenant un billet d'entrée au choix (Château ou Passeport) + une expérience de réalité virtuelle hors normes.;Non précisé;Non précisé;45.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Billet combiné;BILLET DOMAINE DE TRIANON + TEA TIME (LA PETITE VENISE);faible;Ce billet donne accès au domaine de Trianon: Grand Trianon, Petit Trianon, Hameau de la Reine et leurs jardins ainsi qu'à un Tea Time au restaurant La Petite Venise.;Domaine de Trianon et La Petite Venise;Ouverture Domaine Trianon 12h00;24.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château matin);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Ouverture Château 9h00;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
05/10/2025;05/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château à partir de 11h et 13h);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Accès Château à partir de 11h et 13h;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-05
06/10/2025;06/10/2025;Accès;Jardins;Non applicable;Ouverts au public;LES JARDINS;Ouverts de 7h00 à 20h30;Non précisé;Non précisé;Libre;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-06
06/10/2025;06/10/2025;Accès;Parc;faible;Ouvert au public;LE PARC;Ouvert de 7h00 à 20h30;Non précisé;Non précisé;Libre;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-06
06/10/2025;06/10/2025;Fermeture;LE CHÂTEAU;Non applicable;Fermé au public;LE CHÂTEAU;Fermé;Non précisé;Non précisé;Non applicable;Non applicable;Non applicable;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-06
06/10/2025;06/10/2025;Fermeture;LE DOMAINE DE TRIANON;Non applicable;Fermé au public;LE DOMAINE DE TRIANON;Fermé;Non précisé;Non précisé;Non applicable;Non applicable;Non applicable;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-06
07/10/2025;07/10/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
14/06/2025;12/10/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985, en amont de travaux de restauration ou pour des projets de recherches et d'études.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
07/10/2025;07/10/2025;Événement;JARDINS MUSICAUX;Non applicable;LES JARDINS MUSICAUX 2025;Jardins;9h00;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
07/10/2025;07/10/2025;Visite guidée;VISITE GUIDÉE - LES EFFETS SCÉNIQUES AU THÉÂTRE DE LA REINE;Non applicable;Dissimulé dans la verdure du jardin de Trianon, le théâtre de la Reine, construit par Richard Mique, donna à Marie-Antoinette l'occasion de jouer elle-même la comédie.;Jardin de Trianon;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
07/10/2025;07/10/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
07/10/2025;07/10/2025;Visite guidée;VISITE GUIDÉE - LE GRAND TRIANON: CHÂTEAU DE CAMPAGNE;Non applicable;Le Grand Trianon fut toujours utilisé comme un lieu de villégiature permettant de s'extraire des contraintes de la vie officielle et politique.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
07/10/2025;07/10/2025;Activité Famille;VISITE CONTÉE - MON TOUT PETIT JARDIN;Non applicable;Une visite en douceur pour une première découverte multisensorielle des jardins de Trianon.;Jardins de Trianon;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
07/10/2025;07/10/2025;Billet combiné;BILLET D'ENTRÉE + VISITE EN RÉALITÉ VIRTUELLE;Non applicable;Découvrez notre offre combinée comprenant un billet d'entrée au choix (Château ou Passeport) + une expérience de réalité virtuelle hors normes.;Non précisé;Non précisé;45.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
07/10/2025;07/10/2025;Billet combiné;BILLET DOMAINE DE TRIANON + TEA TIME (LA PETITE VENISE);faible;Ce billet donne accès au domaine de Trianon: Grand Trianon, Petit Trianon, Hameau de la Reine et leurs jardins ainsi qu'à un Tea Time au restaurant La Petite Venise.;Domaine de Trianon et La Petite Venise;Ouverture Domaine Trianon 12h00;24.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
07/10/2025;07/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château matin);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Ouverture Château 9h00;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
07/10/2025;07/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château à partir de 11h et 13h);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Accès Château à partir de 11h et 13h;Non précisé;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-07
08/10/2025;08/10/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-08
