date;type_d_evenement;titre;affluence;description;lieu;horaires;tarif;duree_de_visite;adapte_enfants;adapte_PMR;URL_source
30/09/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985, en amont de travaux de restauration ou pour des projets de recherches et d'études.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Événement;Jardins Musicaux;Non applicable;Non précisé;LES JARDINS;Ouverts de 7h00 à 20h30;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - LE PETIT TRIANON DE MARIE-ANTOINETTE;Non applicable;La Reine se voit offrir, en 1774, le Petit Trianon par Louis XVI. Le domaine deviendra son royaume.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - CHEZ LES FAVORITES DU ROI;Non applicable;Les favorites royales ont aussi fait l'histoire et la légende de Versailles.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - MARIE-ANTOINETTE EN PRIVÉ;Non applicable;La Reine fit aménager un petit appartement au rez-de-chaussée de la cour de Marbre, ces lieux, leurs mobiliers et objets d'art permettent d'évoquer le goût de la Reine.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - LE HAMEAU DE MARIE-ANTOINETTE À MARIE-LOUISE;Non applicable;Au fond du domaine, se dressent les chaumières du hameau construit par Richard Mique pour Marie-Antoinette. À redécouvrir grâce aux travaux de restauration.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - LIEUX CACHÉS;Non applicable;Portes dérobées, petits passages, appartements très privés... le château possède des lieux "cachés" où les souverains aimaient se retirer.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Activité Famille;VISITE CONTÉE - MON TOUT PETIT JARDIN;Non applicable;Une visite en douceur pour une première découverte multisensorielle des jardins de Trianon.;Jardins de Trianon;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Billet combiné;PASSEPORT + PAUSE GOURMANDE (RESTAURANT LA PETITE VENISE);Non applicable;Ce billet donne accès à l'ensemble du domaine de Versailles et à un déjeuner au restaurant la Petite Venise.;Domaine de Versailles et La Petite Venise;Non précisé;108.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Billet combiné;PASSEPORT + PAUSE GOURMANDE (RESTAURANT LA FLOTTILLE);Non applicable;Ce billet donne accès à l'ensemble du domaine de Versailles et à un déjeuner au restaurant la Flottille.;Domaine de Versailles et La Flottille;Non précisé;108.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Billet combiné;BILLET D'ENTRÉE + VISITE EN RÉALITÉ VIRTUELLE;Non applicable;Découvrez notre offre combinée comprenant un billet d'entrée au choix (Château ou Passeport) + une expérience de réalité virtuelle hors normes.;Non précisé;Non précisé;45.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Billet combiné;BILLET DOMAINE DE TRIANON + TEA TIME (LA PETITE VENISE);faible;Ce billet donne accès au domaine de Trianon: Grand Trianon, Petit Trianon, Hameau de la Reine et leurs jardins ainsi qu'à un Tea Time au restaurant La Petite Venise.;Domaine de Trianon et La Petite Venise;Ouverture Domaine Trianon 12h00;24.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château matin);soutenue;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Ouverture Château 9h00;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château à partir de 11h et 13h);soutenue;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Accès Château à partir de 11h et 13h;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
01/10/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Événement;JARDINS MUSICAUX;Non applicable;LES JARDINS MUSICAUX 2025;Jardins;9h00;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Visite guidée;VISITE GUIDÉE - CHEZ LES FAVORITES DU ROI;Non applicable;Les favorites royales ont aussi fait l'histoire et la légende de Versailles.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Visite guidée;VISITE GUIDÉE - MARIE-ANTOINETTE EN PRIVÉ;Non applicable;La Reine fit aménager un petit appartement au rez-de-chaussée de la cour de Marbre, ces lieux, leurs mobiliers et objets d'art permettent d'évoquer le goût de la Reine.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Visite guidée;VISITE GUIDÉE - VERSAILLES FAKE NEWS;Non applicable;Versailles, royaume de la démesure, suscite encore fantasmes et légendes. Sous une forme ludique et interactive, cette visite tente de démêler le vrai du faux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Activité Famille;VISITE CONTÉE FAMILLE - L'INCROYABLE EXPLOIT DE SIRE ANANAS IER;Non applicable;1731, deux œilletons d'ananas arrivent à Versailles. Louis XV les confie avec soin à son jardinier et son assistante. Mais comment faire pousser des ananas à Versailles ?;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Billet combiné;BILLET D'ENTRÉE + VISITE EN RÉALITÉ VIRTUELLE;Non applicable;Découvrez notre offre combinée comprenant un billet d'entrée au choix (Château ou Passeport) + une expérience de réalité virtuelle hors normes.;Non précisé;Non précisé;45.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Billet combiné;BILLET DOMAINE DE TRIANON + TEA TIME (LA PETITE VENISE);faible;Ce billet donne accès au domaine de Trianon: Grand Trianon, Petit Trianon, Hameau de la Reine et leurs jardins ainsi qu'à un Tea Time au restaurant La Petite Venise.;Domaine de Trianon et La Petite Venise;Ouverture Domaine Trianon 12h00;24.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château matin);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite.;Château et Domaine de Versailles;Ouverture Château 9h00;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
01/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château à partir de 11h et 13h);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite.;Château et Domaine de Versailles;Accès Château à partir de 11h et 13h;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-01
02/10/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;Événement;JARDINS MUSICAUX;Non applicable;LES JARDINS MUSICAUX 2025;Jardins;9h00;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;Visite guidée;QUAND LA RÉPUBLIQUE SIÉGEAIT À VERSAILLES;Non applicable;Lieu emblématique de la monarchie absolue, Versailles incarne aussi le berceau de la République française.;Non précisé;Non précisé;25.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;Visite guidée;VISITE GUIDÉE - LIEUX CACHÉS;Non applicable;Portes dérobées, petits passages, appartements très privés... le château possède des lieux "cachés" où les souverains aimaient se retirer.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;Billet combiné;BILLET D'ENTRÉE + VISITE EN RÉALITÉ VIRTUELLE;Non applicable;Découvrez notre offre combinée comprenant un billet d'entrée au choix (Château ou Passeport) + une expérience de réalité virtuelle hors normes.;Non précisé;Non précisé;45.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;Billet combiné;BILLET DOMAINE DE TRIANON + TEA TIME (LA PETITE VENISE);faible;Ce billet donne accès au domaine de Trianon: Grand Trianon, Petit Trianon, Hameau de la Reine et leurs jardins ainsi qu'à un Tea Time au restaurant La Petite Venise.;Domaine de Trianon;Non précisé;24.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château matin);modérée;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite.;Château et Domaine de Versailles;Ouverture Château 10h30;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
02/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château à partir de 11h et 13h);modérée;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite.;Château et Domaine de Versailles;Accès Château à partir de 11h et 13h;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-02
03/10/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985, en amont de travaux de restauration ou pour des projets de recherches et d'études.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;Événement;JARDINS MUSICAUX;Non applicable;LES JARDINS MUSICAUX 2025;Jardins;9h00;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;Visite guidée;VISITE GUIDÉE - UN PRÉSIDENT CHEZ LE ROI;Non applicable;Parcourez les appartements de De Gaulle et découvrez comment, sous sa présidence, le Grand Trianon devint palais de la République.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;Billet combiné;BILLET D'ENTRÉE + VISITE EN RÉALITÉ VIRTUELLE;Non applicable;Découvrez notre offre combinée comprenant un billet d'entrée au choix (Château ou Passeport) + une expérience de réalité virtuelle hors normes.;Non précisé;Non précisé;45.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;Billet combiné;BILLET DOMAINE DE TRIANON + TEA TIME (LA PETITE VENISE);faible;Ce billet donne accès au domaine de Trianon: Grand Trianon, Petit Trianon, Hameau de la Reine et leurs jardins ainsi qu'à un Tea Time au restaurant La Petite Venise.;Domaine de Trianon et La Petite Venise;Ouverture Domaine Trianon 12h00;24.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château matin);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Ouverture Château 9h00;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
03/10/2025;Parcours suggéré;UNE JOURNÉE À VERSAILLES (accès château à partir de 11h et 13h);moyenne;Laissez-vous guider par notre suggestion de parcours afin de profiter au maximum de votre visite du...;Château et Domaine de Versailles;Accès Château à partir de 11h et 13h;Non précisé;Journée;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-03
04/10/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985, en amont de travaux de restauration ou pour des projets de recherches et d'études.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;Événement;LE GRAND QUIZ DE LA IIIÈME RÉPUBLIQUE;Non applicable;Et si la IIIème République avait laissé bien plus de traces dans notre vie quotidienne qu'on ne l'imagine? À l'occasion du 150ème anniversaire de la IIIème République, le château organise un grand quizz: que vous soyez simplement curieux ou passionnés, c'est l'occasion de venir tester ses connaissances!;Non précisé;20H;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;Événement;GRANDES EAUX MUSICALES;Non applicable;LES GRANDES EAUX MUSICALES 2025;Jardins;9h00;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;Visite guidée;VISITE GUIDÉE - LE HAMEAU DE MARIE-ANTOINETTE À MARIE-LOUISE;Non applicable;Au fond du domaine, se dressent les chaumières du hameau construit par Richard Mique pour Marie-Antoinette. À redécouvrir grâce aux travaux de restauration.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;Activité Famille;VISITE FAMILLE - VERSAILLES, TOUTE UNE HISTOIRE !;Non applicable;Versailles, palais des rois? Oui! Mais pas seulement.;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
04/10/2025;Activité Famille;ATELIER FAMILLE - SECRET DES DORURES;Non applicable;Que d'ors à Versailles! Depuis les balcons jusqu'aux intérieurs du Château. En atelier, les familles découvrent le métier d'artisan doreur et s'initient à la dorure.;Non précisé;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-10-04
